,molecule,logp,logd,dataset_type
6988,CC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.35,,train
6989,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,5.7,,train
6990,NNc1ccccc1,1.25,,train
6991,COC(=O)C1(S(=O)(=O)c2ccc(Br)cc2)CCCCC1,2.94,,train
6992,CNc1ccc(-c2nc3ccc(C)cc3s2)cc1,3.1,,train
6993,N#Cc1ccc(C(F)(F)F)nc1O[C@H](CCN)c1ccno1,,-0.49,train
6994,CC(C)C(=O)N[C@H](Oc1ccc(C=O)cc1)C(Cl)(Cl)Cl,3.68,,train
6995,N=C(N)c1cc2c(-c3ccccc3)cccc2s1,,1.27,train
6996,Cc1ccccc1C=O,2.26,,train
6997,O=c1[nH]c(O)c(-c2ccccc2)c(=O)[nH]1,-0.17,,train
6998,CCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.78,,train
6999,CCN(CC)N=Nc1ccc(C(N)=O)cc1,2.26,,train
7000,O=C(O)c1cccc(Oc2ccccc2)c1,3.91,,train
7001,Cc1cc(C)c(C)c(C)c1,4.1,,train
7002,CCCCCCc1ccncc1,4.35,,train
7003,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,2.19,,train
7004,CC1(c2ccc(F)cc2)OC2CC3C4CC=C5CC(=O)CCC5C4CCC3(C)C2(C(=O)CO)O1,4.92,,train
7005,CS(=O)(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,,-0.51,train
7006,Nc1ccccc1Oc1ccccc1,2.46,,train
7007,CC(=O)Nc1ccc2oc(C)c(C)c(=O)c2c1,1.79,,train
7008,COc1ccc(-c2c(-c3ccc(O)cc3O)n[nH]c2C)cc1,,3.37,train
7009,COc1cc(OC)c2nc(C)c3c(c2c1)N(c1ccc(O)cc1)CC3,,1.5,train
7010,CCCNP(=O)(OC)SC,0.65,,train
7011,CSc1nc(-c2ccccc2)[nH]c(=N)n1,,2.98,train
7012,CNc1ccc(S(N)(=O)=O)cc1,0.08,,train
7013,NC1(c2ccc(-c3nn4ccc(=O)nc4cc3-c3ccccc3)cc2)CCC1,,0.2,train
7014,OCC1c2ccccc2-c2ccccc21,2.89,,train
7015,O=C(Nc1ccc(Cl)cc1)c1cc(Cl)cc(Cl)c1O,5.15,,train
7016,N#Cc1c[nH]n(-c2ccccc2)c1=NC(=O)CN1CCOCC1,,0.5,train
7017,CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)O,-1.3,,train
7018,CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,3.9,,train
7019,CNC(=O)c1cc(-c2nc(N3CCOCC3)cc(C3(S(C)(=O)=O)CC3)n2)c2cc[nH]c2c1,,1.7,train
7020,N#Cc1cccc(C#N)c1,0.8,,train
7021,C[C@H](N=C1NC(=O)[C@](C)(C(F)(F)F)S1)c1ccccc1F,,3.1,train
7022,O=S(=O)(Cc1c(F)cccc1F)N1CCN(c2ncccc2C(F)(F)F)CC1,,3.9,train
7023,COc1c(Cl)cc(Cc2c[nH]c(=N)[nH]c2=N)cc1Cl,2.78,,train
7024,Cc1cssc1=O,1.33,,train
7025,S=C=Nc1ccc(-c2ccc(N=C=S)cc2)cc1,5.5,,train
7026,CC(=O)OC=C1CSC2C(NC(=O)CC#N)C(=O)N2C1C(=O)O,-0.45,,train
7027,CCN(CC)Cc1cccc(C(=O)Nc2c(C)cccc2C)c1,3.09,,train
7028,O=C(CC=Nc1cccc(C(F)(F)F)c1)c1ccc(Br)cc1,5.65,,train
7029,CC(=O)OCCCOc1ccc(-c2ccncc2)cn1,2.48,,train
7030,NNC(=O)NC1CCCCC1,0.15,,train
7031,COc1ccccc1NCC(N)=O,0.78,,train
7032,Clc1ccc(-c2ccccc2)cc1,4.61,,train
7033,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(OC2CCNCC2)ncc1Cl,,1.56,train
7034,Cc1c(OCc2c(F)cccc2Cl)c(=O)ccn1Cc1ccc(Cl)cc1,5.63,,train
7035,CSC(C)=NOC(=O)N(C)SN(C(=O)N(C)C)C1CC1,2.0,,train
7036,NC(=O)CCCn1nc2ccccc2n1,0.78,,train
7037,CCn1c2ccccc2c2cc(NC(=O)CCc3ccncc3)ccc21,,3.75,train
7038,N=c1[nH]c2[nH]c(SCc3cccc(F)c3F)nc(=O)c2s1,,2.5,train
7039,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,,3.97,train
7040,Cc1ccc(N)cc1C,1.84,,train
7041,NC1CC2OC1c1ccccc12,0.4,,train
7042,CCc1ccccc1NC(C)=O,1.32,,train
7043,COc1cc2[nH]c(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(=N)c2cc1OC,3.3,,train
7044,Cc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,2.4,,train
7045,N=c1[nH]c(=O)n(C2CCC(CO)O2)cc1F,-1.09,,train
7046,COC(=O)C1=C(C)N=C(C)C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,4.26,,train
7047,CC(=O)Nc1ccc(CN(C)N=Nc2ccc(C(=O)O)cc2)cc1,3.35,,train
7048,c1ccc(Sc2c[nH]nn2)cc1,2.65,,train
7049,CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(CCC(=O)O)C(=O)O,0.07,,train
7050,CNC(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1,2.19,,train
7051,COc1cccc(C=C[N+](=O)[O-])c1,2.37,,train
7052,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,0.32,,train
7053,CCCCOC(=O)n1cnc(CSCCN=C(NC)NC#N)c1C,2.15,,train
7054,CCc1ccc(NC(=O)CN2CCCCC2)cc1,3.52,,train
7055,CC(=O)Nc1c(C(C)C)cccc1C(C)C,2.41,,train
7056,N=c1[nH]cc(Cc2cc3c(cc2Br)OCO3)c(=N)[nH]1,2.48,,train
7057,CN1C(=O)NC(=O)C(=O)C1=O,-1.01,,train
7058,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,3.31,,train
7059,CCC=C(CC(=O)NC(C)CC)c1ccc(Cl)cc1,4.87,,train
7060,CCC(c1nc2ccsc2c(=O)n1Cc1ccc(C)cc1)N(CCCN)C(=O)c1ccc(C)cc1,,1.69,train
7061,Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)cc4Cl)CC3)CC2)cc1,,1.52,train
7062,N#CCCN(N)c1nc2ccccc2o1,0.9,,train
7063,CC(=O)NC(CCC(=O)O)C(N)=O,-2.47,,train
7064,Cc1c(O)c(=O)ccn1-c1ccc([N+](=O)[O-])cc1,0.76,,train
7065,CNC(=O)Oc1ccc(SC)c(C)c1,2.47,,train
7066,CN(C)C(=O)OCc1ccc([N+](=O)[O-])cc1,1.95,,train
7067,CCCC(=NOCC)C1C(=O)CC2(CCCCC2)OC1=O,3.62,,train
7068,COc1ccc(I)cc1Cc1c[nH]c(=N)[nH]c1=N,2.7,,train
7069,CN(CCO)C(=O)COC(=O)c1ccccc1,0.58,,train
7070,Cc1nnc(SCc2ccccc2)o1,1.74,,train
7071,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,6.15,,train
7072,N=c1cc[nH]c(-c2cccnc2)n1,,0.44,train
7073,COc1cc(SC)c(OC)cc1CC(C)N,2.17,,train
7074,Cc1ccc(S(=O)(=O)C2(C(=O)OC(C)C)CCC2)cc1,2.78,,train
7075,CCOC(=O)c1cnn(C)c1S(=O)(=O)NC(=O)N=c1nc(OC)cc(OC)[nH]1,1.3,,train
7076,CCCCCOC(=O)c1cccnc1,2.55,,train
7077,O=Cc1cccc(O)c1,1.29,,train
7078,CC(C)CC(NC(=O)C1CCCN1)C(=O)O,-2.41,,train
7079,Cc1cc(Cl)ccc1OCC(=O)OCCCCCC(C)C,6.7,,train
7080,C1=CCCC=CCC1,3.16,,train
7081,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,2.88,,train
7082,Cc1ccc(NC(=O)CSc2nnc(Cc3ccccc3)o2)cc1Cl,4.85,,train
7083,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,,1.9,train
7084,NC(=O)c1cccc(O)c1,0.39,,train
7085,CCC(CNC)c1ccccc1,2.82,,train
7086,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,6.31,,train
7087,O=c1cc(-c2ccccc2)[nH]c2ccnn12,,1.3,train
7088,CC(=O)NNC(=O)Nc1ccc(Br)cc1,1.38,,train
7089,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,,2.21,train
7090,NS(=O)(=O)c1ccc(SCCCCO)c(F)c1,1.28,,train
7091,CC12CCC(O)CC1=CCC1C2CCC2(C)C(O)CCC12,3.55,,train
7092,C=Cc1cnc([N+](=O)[O-])n1C,0.64,,train
7093,COc1cc(C(CO)CO)ccc1N=c1nc(-c2cnc3ccccn23)c(Cl)c[nH]1,,3.1,train
7094,C(=Nc1ccccc1)c1ccccc1,2.82,,train
7095,OCCCCc1ccccn1,0.86,,train
7096,CN(c1ncccc1CN=c1[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]cc1C(F)(F)F)S(C)(=O)=O,,2.63,train
7097,COCCNC(=O)c1ccc(N=c2nc3ccc(-c4ccnc(C)c4)cc3c[nH]2)cc1,,3.56,train
7098,COC1=C(OC)C(=O)C=CC1=O,0.34,,train
7099,COC(=O)c1ccccc1C,2.75,,train
7100,CN(C)c1cnc(Cl)cn1,1.7,,train
7101,O=C(NC1CCCCC1)C1CCCN(S(=O)(=O)c2cccs2)C1,,2.93,train
7102,O=C(OCn1ncc2c(=O)[nH]cnc21)c1ccccc1,1.5,,train
7103,COc1ccc(C(=O)CC(C)CC(=O)O)cc1Cl,2.6,,train
7104,Cc1ccc(CN=c2cc(-c3nc(=N)[nH][nH]3)cc[nH]2)cc1,2.69,,train
7105,Clc1cccc2c1CCNCC2,2.4,,train
7106,CCCCC(CCCC)C(=O)O,3.2,,train
7107,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,-0.04,-0.12,train
7108,FC(F)(F)c1ccccc1NC1=NCCN1,1.42,,train
7109,Cc1nc(C(=O)N2CCCC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,,0.64,train
7110,Clc1ccc2c(c1N=c1cc[nH]c(=Nc3ccccc3)[nH]1)OCO2,,3.9,train
7111,CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(N)=O,-0.12,,train
7112,NC1(C(=O)NC(c2ccc(Cl)cc2)C2CC2)CCN(c2ncnc3[nH]ccc23)CC1,,3.4,train
7113,O=Cc1ccoc1,0.51,,train
7114,Cc1ccc(S(=O)(=O)Oc2ccccc2C(=O)N(C)C)cc1,2.01,,train
7115,CCCN(C=Nc1ccn(C2CC(F)C(CO)O2)c(=O)n1)CCC,1.35,,train
7116,CNC(=O)COc1cccc(OCC(O)CNC(C)C)c1,0.35,,train
7117,CCCCCc1cc(OC)c2c(c1)OC(C)(C)C1CC=C(C)CC21,8.06,,train
7118,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,0.6,,train
7119,CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cncc(Br)c3)cc1C21N=C(C)C(=N)N1,,3.4,train
7120,COC(=O)C(C#N)=NNc1ccc(SC(F)(F)F)cc1,4.3,,train
7121,[O-][n+]1ccc(Cl)cc1,-0.44,,train
7122,COC(=O)CCCCCC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,3.7,,train
7123,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,,-0.87,train
7124,CCOC1OC2OC3(C)CCC4C(COC5OC(C(=O)O)C(O)C(O)C5O)CCC(C1C)C24OO3,1.05,,train
7125,CN(Cc1ccccc1)N=Nc1ccc(C#N)cc1,3.82,,train
7126,O=C(O[Na])C(F)(F)C(F)F,1.32,,train
7127,CNC(=O)ON=C1SCOC1(C)C,0.82,,train
7128,Cc1cc(C)c2oc(=O)sc2c1,3.25,,train
7129,C1COCO1,-0.37,,train
7130,O=C1c2ccccc2C(=O)N1c1ccc(O)cc1,,2.0,train
7131,COc1cc2c(=Nc3c(Cl)ccc4c3OCO4)[nH]cnc2cc1OCCCN1CCCCC1,,2.05,train
7132,C#CCOc1ccc(N=CNOCC)cc1OCC#C,1.9,,train
7133,Cc1cc(C)c(C#[N+][O-])c(C)c1,3.21,,train
7134,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,2.15,,train
7135,FC(F)(F)Oc1ccccc1,3.17,,train
7136,CN=C1NC(=O)C(=CC=Cc2ccc([N+](=O)[O-])o2)S1,1.35,,train
7137,CN1CC(C)(C)C(=O)c2ccccc21,2.72,,train
7138,COc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1,1.17,,train
7139,COc1ccc(/C=C/C(=O)O)cc1,2.68,,train
7140,C=CCN1CCC(CNC(=O)c2cc3[nH]nnc3cc2OC)C1,0.95,,train
7141,COc1cc2c(c(OC)c1OC)-c1ccc(O)cc1[C@@H](NC(C)=O)CC2,,1.81,train
7142,N#CC(=Cc1ccccc1)C(N)=O,1.56,,train
7143,COCC(C)n1[nH]c(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1=NS(=O)(=O)c1ccc(C)cc1,,0.61,train
7144,O=C(O)COc1ccc(Cl)cc1CN1CCCN(S(=O)(=O)c2ccccc2)CC1,,1.01,train
7145,O=[N+]([O-])c1ccc2oncc2c1,1.46,,train
7146,COC(=O)c1c(C)[nH]c(-c2ccc(Cl)cn2)c1C(=O)OC,2.7,,train
7147,Brc1c[nH]c(=NCc2ccccc2)nc1N=c1cc(C2CC2)[nH][nH]1,,4.11,train
7148,O=C(CNC(=O)c1ccccc1)Oc1cccc([N+](=O)[O-])c1,2.46,,train
7149,O=C1CC2OCCC3CN4CCC56c7ccccc7N1C5C2C3CC46,1.62,,train
7150,Cc1ccc(OCCC(=O)N2CCN(S(=O)(=O)c3cccs3)CC2)cc1,2.98,,train
7151,CNC12CCCCC1c1ccccc1C2,3.43,,train
7152,CCCC(=NOCC)C1C(=O)CC2(CCCCC2C)OC1=O,3.9,,train
7153,N=C1NCC(COc2ccc(N3CCOCC3)cc2)O1,0.6,,train
7154,CCC(C)NC(=O)c1c(C)[nH]n(-c2ccccc2)c1=NS(=O)(=O)c1ccc(C)cc1,,0.66,train
7155,COc1ccc(CCC(=O)O)cc1,1.9,,train
7156,C=C(C)OCc1ccccc1,2.41,,train
7157,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,4.85,,train
7158,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,4.97,,train
7159,CCOC(=O)c1c(CC(C)C)csc1N=Cc1c(C)[nH]n(-c2ccccc2)c1=O,5.16,,train
7160,Clc1c(Cl)c(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,8.16,,train
7161,O=C(O)CCC(=O)O,-0.59,,train
7162,Cn1c(C=O)cnc1[N+](=O)[O-],-0.1,,train
7163,CC(C)CC(=O)O,1.16,,train
7164,Cc1nc(=Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)[nH]1,,3.41,train
7165,CCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,4.24,,train
7166,CCN(CC)C(=O)c1sc(NC(=O)c2cc(OC)cc(OC)c2)c(C(=O)OC)c1C,5.47,,train
7167,O=[N+]([O-])OCC(CO)O[N+](=O)[O-],0.83,,train
7168,Cc1ccc2ncccc2c1,2.57,,train
7169,Cc1cc2n[nH]c(=O)n2c2cc(-c3cn[nH]c3)ccc12,,2.13,train
7170,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)N2CCN(c3cccc(F)c3)CC2)CC1,,3.21,train
7171,CC1=NS(=O)(=O)c2ccc(Cl)cc2N1,1.21,,train
7172,Cc1cnc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1,3.75,,train
7173,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,-0.94,train
7174,NS(=O)(=O)c1cccc2ccccc12,1.55,,train
7175,COC(=O)CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.05,,train
7176,CC(=O)NC(CCCN)C(=O)NC(Cc1ccccc1)C(N)=O,0.41,,train
7177,Nc1ccc(C(=O)Oc2ccccc2Cl)c(O)c1,3.72,,train
7178,COc1cccc(C(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)N2CCNCC2)c1,,3.1,train
7179,COc1ccc([C@@H]2C(C(=O)N3CCCCCC3)c3ccccc3C(=O)N2Cc2ccc(F)cc2)cc1,5.01,,train
7180,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,3.34,train
7181,CC1=CCC2CC(CC3(CCC(C)C(C)O3)O2)OC(=O)C2=CC(C)C(O)C3OCC(=CC=CC(C)C1)C23O,5.3,,train
7182,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,1.92,,train
7183,CCOc1cccc2cccnc12,2.25,,train
7184,O=C(COC(=O)c1cccc(N2C(=O)c3ccccc3C2=O)c1)c1ccc(F)cc1,4.68,,train
7185,CC(=O)NNC(=O)Nc1cccc(C(F)(F)F)c1,1.59,,train
7186,CC(C)NNC(=O)C(C)Oc1ccc(Cl)cc1,2.14,,train
7187,CC(C(=O)O)c1ccc(-c2nccs2)c([N+](=O)[O-])c1,2.06,,train
7188,C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1S(=O)(=O)Cc1ccccc1,,1.12,train
7189,Nc1cccc(C(F)(F)F)c1,2.29,,train
7190,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1.33,,train
7191,Fc1cccc(NC2=NCCN2)c1Cl,1.52,,train
7192,COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OCc1ccccc1,2.44,,train
7193,CN1CCOC(O)C1c1ccccc1,0.99,,train
7194,Cn1cnc(-c2ccccc2)c1/C=C/c1cc[nH]c(=N)n1,,2.61,train
7195,Nc1ccc2cc3ccc(N)cc3nc2c1,1.83,,train
7196,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)C(=O)C3(O)C(=O)C1C2=O,0.05,,train
7197,CCCCCc1ccncc1,3.75,,train
7198,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,2.29,0.74,train
7199,COc1cccc(COC(=O)N(C)C)c1,2.09,,train
7200,NCCC(N)C(=O)O,-4.64,,train
7201,O=c1cc(N2CCOCC2)nc2c3ccccc3ccn12,,2.78,train
7202,Clc1ccc2ncc(-c3cccc(=NC4CNC4)[nH]3)n2c1,,1.19,train
7203,O=C1c2ccccc2C(=O)N1c1ccccc1C(F)(F)F,3.55,,train
7204,Oc1cc(O)c(-c2ccccc2)[nH]1,0.48,,train
7205,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)C(=O)N1,1.96,,train
7206,O=C(O)Cc1cccc(C(F)(F)F)c1,2.62,,train
7207,Clc1ccc([C@]23CNC[C@H]2C3)cc1Cl,,1.96,train
7208,Cn1cccc1C(N)=O,0.45,,train
7209,CC(C)CC(=O)Oc1ccccc1,3.18,,train
7210,Cc1ncc(-c2cc[nH]c(=Nc3ccc(C(=O)NCCO)cc3)n2)n1C(C)C,,2.09,train
7211,CON(C)C(=O)Nc1ccc(C=C(C#N)C#N)cc1,2.19,,train
7212,CCCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(CC)C1,3.21,,train
7213,COCCCNS(=O)(=O)c1ccc(N=c2nc(-c3cnc4ccccn34)cc[nH]2)cc1,,3.41,train
7214,N#Cc1cccc(CC(=O)O)c1,1.18,,train
7215,COc1ccc2cc(C(C)C(=O)OCC=C(C)CCC=C(C)C)ccc2c1,7.77,,train
7216,COC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.14,,train
7217,CC[C@H](CO)N=c1[nH]c(SCc2ccccc2)nc2[nH]c(=O)sc12,,3.22,train
7218,CC(C)NCC(O)COCc1ccccc1,1.62,,train
7219,Cn1c([N+](=O)[O-])cnc1COc1ccc(Cl)cc1,1.8,,train
7220,Clc1cc(Cl)c2c(c1)Oc1c(cc(Cl)c(Cl)c1Cl)O2,6.53,,train
7221,CC(C)(NC(=O)N(CCCl)N=O)C(=O)O,1.74,,train
7222,CCC(C)C(NC(=O)C(CC(=O)O)NC(C)=O)C(=O)NC(Cc1ccccc1)C(N)=O,0.61,,train
7223,CN(C)c1ccc(Cl)nn1,0.98,,train
7224,CC(=O)Nc1ccc(CN=c2[nH][nH]c3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1,,2.63,train
7225,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,,-0.06,train
7226,CC[N+](=O)[O-],0.18,,train
7227,Cc1ccc(Cl)c(Nc2ccccc2CC(=O)O)c1Cl,4.93,,train
7228,CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,3.2,,train
7229,Cc1sc2ncn(CC(=O)N[C@@H]3CCC[C@@H](C)[C@H]3C)c(=O)c2c1C,4.34,,train
7230,COCCO,-0.77,,train
7231,CCNC(=O)c1cccc2c1C(=O)C(=O)N(CC)C2=O,0.3,,train
7232,CC1(C)C2CC=C(C=O)C1C2,2.98,,train
7233,O=C(Cn1cnc([N+](=O)[O-])n1)N1CCOCC1,-0.96,,train
7234,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OCc1ccccc1,2.46,,train
7235,CC(C)CC1=NS(=O)(=O)c2ccc(Cl)cc2N1,2.35,,train
7236,CCCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(=O)CC21C,3.76,,train
7237,CCS(=O)c1sc(C#N)c(OC)c1C#N,2.35,,train
7238,C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,3.95,,train
7239,CC(C)N(C(=O)c1ccccc1)C(C)C,2.5,,train
7240,CCCCCCCC(C)(C)c1ccc(C2CCCC(O)C2)c(O)c1,7.18,,train
7241,CON(C)C(=O)Nc1cccc(C#N)c1,1.33,,train
7242,Nc1ccc2c(c1)Cc1ccccc1-2,3.14,,train
7243,Cc1ccc(F)c(N=c2cc[nH]c(=Nc3ccc(OCC(O)CN(C)C)cc3)[nH]2)c1,,2.1,train
7244,CCN=c1nc(C(Cl)(Cl)Cl)nc(SC)[nH]1,3.87,,train
7245,CC(=O)Nc1cc(Cl)cc(Cl)c1Br,3.04,,train
7246,COP(=O)(OC)c1ccccc1,0.95,,train
7247,Cc1ccccc1OC1C(=O)N(Cc2ccc3c(c2)OCO3)[C@H]1c1ccc2c(c1)OCO2,4.37,,train
7248,CCOc1ccccc1S(I)=C(N(C)C)N(C)C,-0.06,,train
7249,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,6.0,2.83,train
7250,CC(=O)OCCOc1ccc(-c2ccncc2)cn1,1.92,,train
7251,N#C[C@]1(NC(=O)C(N)Cc2cccs2)C[C@H]1c1ccccc1,,1.5,train
7252,COC1C(Cl)C(Cl)C(OC)C(Cl)C1Cl,3.15,,train
7253,NC(=O)c1ccc(N)cc1,-0.41,,train
7254,O=C(O)c1ccccc1F,1.77,,train
7255,CN=c1nc(C(Cl)(Cl)Cl)nc(C)[nH]1,2.43,,train
7256,N#CCc1nc(-c2ccc3c(c2)OCCCO3)cs1,2.68,,train
7257,CCCCCCCCCCCCOC(=O)CCC,6.51,,train
7258,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nc2)cc1,2.24,,train
7259,Clc1cc(Cl)cc(-c2ccc(Cl)cc2Cl)c1,6.2,,train
7260,CN(C)c1nc2c3cccnc3ccc2n1C,2.28,,train
7261,CC1(C)CC(NC(=O)NP(=O)(N2CC2(C)C)N2CC2(C)C)C(C)(C)N1O,0.51,,train
7262,O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1cccc(Cl)c1,,3.39,train
7263,CCCCCCCCCCOc1ccc(C(=O)O)cc1,6.29,,train
7264,CCCCCCCCC=CCCCCCCCCCCCC(=O)OC,9.32,,train
7265,NC(=O)c1sc2[nH]ccc(=Nc3ccccc3)c2c1N,,2.91,train
7266,Cc1cc(Cl)ccc1OC(C)C(=O)O,3.2,,train
7267,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,2.69,0.01,train
7268,Clc1ccc(-c2c(Cl)cccc2Cl)cc1,5.75,,train
7269,Cc1ccccc1NC(=O)CN1CCCCC1,2.26,,train
7270,O=C(OCCNC(=O)C(F)(F)F)c1ccccc1,2.25,,train
7271,Cn1c(CN2CCN(c3cccc(Cl)c3)CC2)nc2ccccc21,,3.75,train
7272,OCCn1nnc2ccccc21,0.5,,train
7273,CCc1cc(=O)oc2c(C)c(OCC(=O)OC(C)(C)C)ccc12,4.52,,train
7274,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,4.04,,train
7275,O=C(O)C(Cl)(Cl)Cl,1.33,,train
7276,CCC(C)(C)CC(c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,,1.37,train
7277,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,0.54,-1.33,train
7278,NNC(=O)Nc1ccc(Cl)cc1,0.87,,train
7279,O=CNc1ccc([N+](=O)[O-])cc1,1.43,,train
7280,N#Cc1c(SCC(=O)OCc2ccccc2)nsc1SCC(=O)OCc1ccccc1,5.6,,train
7281,O=C(O)c1ccccc1I,2.4,,train
7282,C=C1CCC2CC1C2(C)C,4.16,,train
7283,COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1-c1cnco1,,3.6,train
7284,S=C1CCCCCCN1,1.0,,train
7285,CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(N)=O,1.19,,train
7286,Cc1cc(=O)[nH]n1-c1ccncn1,1.4,,train
7287,[O-][n+]1ccc(NO)c2ccccc21,0.0,,train
7288,CN(C)N=Nc1ccc(C(N)=O)cc1,1.2,,train
7289,c1ccc(Cn2nccn2)cc1,1.56,,train
7290,OCc1ccc(C(O)(Cn2ccnc2)c2ccc(-c3ccncc3)cc2)cc1,2.4,,train
7291,CCC(=O)OC1(C(=O)CO)C(C)CC2C3CC(F)=C4CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC21C,2.99,,train
