,molecule,logp,dataset_type
8075,CCCOC(=O)c1ccoc1,2.36,train
8076,Cc1ccc(S(=O)(=O)N(C)c2ccc(OCC(=O)N3CCN(c4ncccn4)CC3)cc2)cc1,4.46,train
8077,Oc1c(F)cccc1F,1.96,train
8078,COc1ccccc1N(CCOC(O)c1cc(O)n(-c2ccccc2)c1)C1=NS(=O)(=O)c2ccccc21,2.5,train
8079,NS(=O)(=O)c1ccc(Cl)cc1,1.15,train
8080,Cc1nnc(C(C)(C)C)c(=O)n1N,1.03,train
8081,CC1CCCCN1N=O,0.71,train
8082,COc1ccc(N=NN(C)C(C)=O)cc1,2.61,train
8083,CC(=O)Oc1cccc(OC(C)=O)c1C(N)=O,-0.62,train
8084,CC12CCC(=O)C=C1CCC1C3CCC4(CCC(=O)O4)C3CCC12C,2.98,train
8085,CN(C)N=Nc1cc(C(N)=O)cc(C(N)=O)c1,0.22,train
8086,Fc1ccccc1,2.27,train
8087,NC(Cc1cccc2ccccc12)C(=O)O,-0.22,train
8088,CNC(=O)C=Cc1ccc([N+](=O)[O-])o1,0.98,train
8089,CC(C)(C)c1ccc(O)cc1,3.31,train
8090,CC=Cc1ccc(O)c(OC)c1,3.04,train
8091,CC1(C)C2CCC(CN)C1C2,2.05,train
8092,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.34,train
8093,CC(C)C(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,0.73,train
8094,CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(C(=O)O)C(C)C,0.36,train
8095,Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,6.35,train
8096,CCC(C)C([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)[O-])C(C)C,-1.77,train
8097,CCOC(=O)C(Cc1ccc(OC)cc1)=NC=O,2.22,train
8098,CNC(=O)Oc1cccc(N(C)C)c1,1.43,train
8099,CCOC(=O)CCCCCn1nnc2ccccc21,2.68,train
8100,CC(=O)N(C)Nc1ccccc1,1.31,train
8101,CCOC(=O)c1cnc2n(c1=O)CC(C)CC2,0.71,train
8102,ON=C(O)c1ccccc1,0.26,train
8103,O=C(O)COc1cc(Cl)cc(Cl)c1,2.84,train
8104,CCCCC(O)CCC,2.68,train
8105,CCCCCCCC(=O)NN,1.0,train
8106,CN(C)C(=O)c1cccc(Oc2ccccc2)c1,2.57,train
8107,ON=C(O)Nc1ccccc1,0.41,train
8108,CCCOc1ccc(CC(=O)O)cc1,2.31,train
8109,CNCCCCc1cccnc1,0.91,train
8110,O=C(O)CCCC(=O)O,-0.29,train
8111,COC(=O)C(Cc1ccc(O)cc1)NC(C)=O,0.33,train
8112,C=C(C)c1ccccc1,3.48,train
8113,COc1ccc2c(c1)[nH]c(=NCCCNCCCN=c1[nH]c3cc(OC)ccc3n3cccc13)c1cccn12,2.76,train
8114,COc1ccc(NC(=O)c2cc(NC(=O)c3ccccc3)cc(C(=O)Nc3ccc(OC)cc3)c2)cc1,5.59,train
8115,COC(=O)c1ccccc1,2.12,train
8116,NC(CCC(=O)NC(Cc1ccccc1)C(=O)O)C(=O)O,-1.14,train
8117,CNC12CC=CCC1c1ccccc1C2,3.28,train
8118,CCOc1ccccc1NC(=O)OCCN1CCOCC1,2.27,train
8119,CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,1.7,train
8120,O=[N+]([O-])c1cccc2c([N+](=O)[O-])cccc12,2.58,train
8121,Cc1cnc(-c2ccccc2)c(-c2ccccc2)n1,3.52,train
8122,CC(=O)NCCc1ccc(S(=O)(=O)N2CCOCC2)cc1,2.0,train
8123,CCCN(CCC)C1CCOc2c(O)cccc21,3.3,train
8124,CS(=O)c1sccc1Br,1.71,train
8125,O=c1[nH]cnc2c1ncn2C1CC(O)C(CO)O1,-1.71,train
8126,CCc1ccc([N+](=O)[O-])cc1,3.03,train
8127,N#CN=[N+]([O-])c1ccc(Br)cc1,2.5,train
8128,COc1c(O)cc(C)c(O)c1OC,1.05,train
8129,CC(N)C(O)c1ccccc1,0.83,train
8130,COc1cc2ccc(=NC(=O)C(F)(F)F)c3c(c2c(OC)c1OC)CCC(=O)C(O)C3,1.82,train
8131,CCOP(C)(=O)SCCN(C(C)C)C(C)C,2.09,train
8132,O=C1CC(c2cccc(O)c2)Oc2cc(O)cc(O)c21,2.61,train
8133,O=C(O)CSCc1ccccc1,2.1,train
8134,O=C1CC(Oc2ccc3ccccc3c2)N1,2.29,train
8135,OC/C=C/c1ccccc1,1.95,train
8136,CCCOC(=O)c1ccc(N)cc1,2.43,train
8137,COc1cccc(NC(=O)Cc2ccccc2)c1,2.86,train
8138,O=C(NCCO)C(F)(F)Cn1ccnc1[N+](=O)[O-],-0.52,train
8139,CCCCCC=O,1.78,train
8140,CN(C)S(=O)(=O)c1cccc(C(=O)NCCc2ccc(Cl)cc2Cl)c1,4.48,train
8141,COc1cccc([N+](=O)[O-])c1,2.16,train
8142,CC12CCC(C(=O)C1=O)C2(C)C,1.52,train
8143,CNC(=O)ON=C1SCSC1C,0.91,train
8144,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(OC(=O)C(C)C)c3ccccc3)C2SC1,2.05,train
8145,CS(=O)CCCOc1ccc([N+](=O)[O-])cc1,0.93,train
8146,Clc1cncc(Cl)c1,2.56,train
8147,CCN1C(=O)C(=O)c2ccc(OC)cc2C1=O,1.49,train
8148,O=C(c1ccncc1)c1ccccc1O,2.13,train
8149,NCCCCc1cccnc1,0.88,train
8150,Cc1ccc(OCc2ccccc2CCCN2CCC(O)CC2)cc1,3.5,train
8151,CSCCC(NC(C)=O)C(=O)NC(Cc1ccccc1)C(N)=O,0.42,train
8152,COC(=O)NC(=O)C(O)c1ccccc1,1.41,train
8153,CCCCCCOC(=O)c1ccc(O)cc1,4.35,train
8154,COC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1,1.42,train
8155,O=C(OCC(=O)N1CCC(Cc2ccccc2)CC1)C1CCCCC1,4.98,train
8156,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,3.92,train
8157,COc1cccc(NC(=O)NNC(C)=O)c1,0.33,train
8158,CCCNCC(C)C,2.07,train
8159,CCOC(=O)Cn1ccnc1[N+](=O)[O-],0.33,train
8160,O=C(O)COc1ccc(S(=O)(=O)F)cc1,1.82,train
8161,CC(=O)NC(C)C(=O)NCC(=O)NC(C)C(=O)NC(C)(C)C,-0.6,train
8162,CCCOC(=O)c1ccc(C(=O)OCCC)nc1,3.57,train
8163,S=c1sscc1-c1ccccc1,3.2,train
8164,Cc1ccccn1,1.11,train
8165,CNC(=O)ON=C1SCOC1C(C)C,1.48,train
8166,Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,7.28,train
8167,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,4.9,train
8168,CC(C)[N+](=O)[O-],0.93,train
8169,O=C(O)C1c2ccccc2Sc2ccccc21,2.57,train
8170,CS(=O)c1sccc1C#N,0.96,train
8171,CCCSP(=S)(OCC)Oc1ccc(SC)cc1,5.48,train
8172,NCc1ccccn1,-0.21,train
8173,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,3.23,train
8174,COc1ccc(OCC(=O)NNC(C)C)cc1,1.21,train
8175,CCOC(=O)C(CC)n1nc2ccccc2n1,2.88,train
8176,CC(=O)Nc1c(C)cc(Br)cc1C,2.12,train
8177,CC(=O)NNC(=O)Nc1cccc(F)c1,0.73,train
8178,CC1(NC(=O)Nc2ccccc2)CCCCC1,3.6,train
8179,Cn1c([N+](=O)[O-])cnc1COC(N)=O,-0.38,train
8180,C#CCN1C(=O)C2CC[C@@](C)(C1=O)C2(C)C,2.28,train
8181,CNCCOc1cc(C)c(O)cc1C(C)C,2.35,train
8182,COc1ccccc1C(=O)c1ccncc1,1.86,train
8183,C=CCN1C(=O)SC(=Cc2ccc([N+](=O)[O-])o2)C1=O,2.22,train
8184,CCCCCCCCCCCCCc1cccc(O)c1O,7.75,train
8185,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,1.95,train
8186,Cn1cc[nH]c1=S,-0.34,train
8187,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,3.08,train
8188,CCO[PH](=O)(=O)Cc1ccc(F)cc1,1.25,train
8189,CN(C)C(=N)N(C)C,0.41,train
8190,CC(C)(C)NC(=O)COC(=O)c1ccccc1,2.26,train
8191,CNC(=O)Oc1cccc2ccccc12,2.36,train
8192,CCC(=O)Cn1ccnc1C=Cc1occc1[N+](=O)[O-],1.27,train
8193,CCOC(=O)n1c(=NC(=O)OC)[nH]c2cc(C(=O)c3ccccc3)ccc21,2.93,train
8194,Clc1cc(Cl)c(Cl)c(Oc2ccc(Cl)c(Cl)c2)c1,6.52,train
8195,CCC(CC)COC(=O)N(CC)CC,3.6,train
8196,CSCCNCc1cc2cc(S(N)(=O)=O)sc2s1,1.18,train
8197,O=C1CC2C(=O)NCC2CN1,-2.11,train
8198,CCCCOc1cccc(O)c1,3.03,train
8199,CC1CCC(C)N1C(=O)Nc1ccccc1,2.33,train
8200,CCc1cc(NC(C)=O)cc(CC)c1O,1.87,train
8201,Cc1ccc2nccc(=O)n2c1,0.61,train
8202,CCCCNC(=O)COC(=O)c1ccccc1,2.36,train
8203,COCCN(N=Nc1[nH]cnc1C(N)=O)C(C)(C)C,1.14,train
8204,NS(=O)(=O)c1cccc(OC(=O)CNC(=O)c2ccccc2)c1,0.84,train
8205,c1ccc2c(c1)OCCOCCOc1ccccc1OCCO2,2.21,train
8206,CCCc1oc(C)cc(=O)c1O,1.4,train
8207,CCOS(=O)(=O)OCC,1.14,train
8208,Nc1cccc(N)c1,-0.33,train
8209,CCC(C)NC(=O)C=Cc1ccccc1,2.85,train
8210,CCOP(=S)(OCC)SCS(=O)CC,1.78,train
8211,O=C(CBr)c1ccccc1,2.19,train
8212,Nc1ccccc1S(N)(=O)=O,0.22,train
8213,Cc1nnc(SC=C2CSC3C(NC(=O)Cn4cnnn4)C(=O)N3C2C(=O)O)s1,-0.58,train
8214,NS(=O)(=O)c1ccc(S(=O)(=O)CCCCO)cc1,-0.6,train
8215,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,2.5,train
8216,CCOP(=O)(N1CC1(C)C)N1CC1(C)C,1.02,train
8217,CCN(CC)CCSC(=NO)c1nonc1C,1.4,train
8218,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1.4,train
8219,Cc1cc(C)cc(OC(C(=O)O)C2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,2.1,train
8220,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3cccc(C(F)(F)F)c3)c2s1,2.62,train
8221,COC(=O)Nc1ccccc1[N+](=O)[O-],2.1,train
8222,CN(C)c1ccc(C=NN=C(N)N)cc1,0.28,train
8223,CCNC(=O)CC1CCCCC1,2.28,train
8224,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)ccc1OCc1ccccc1,2.66,train
8225,COC(=O)c1ccccc1Cl,2.38,train
8226,O=S(=O)(O)c1cccc2c(O)cccc12,-0.17,train
8227,O=[N+]([O-])c1ccc(C=NNP(=O)(N2CC2)N2CC2)cc1,0.45,train
8228,CC(C)(C)CO,1.31,train
8229,CCCNc1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],3.65,train
8230,O=C(NC12CC3CC(CC(C3)C1)C2)NP(=O)(N1CC1)N1CC1,1.81,train
8231,CN(C)C(=O)C(C(=O)N(C)C)C(=O)N(C)C,-3.09,train
8232,CN(C)CCCN1c2cc(O)ccc2Sc2ccc(Cl)cc21,4.63,train
8233,NC(=O)c1ccc(S(N)(=O)=O)cc1,-0.83,train
8234,CCN(C(=O)COC(=O)/C(=C/c1ccc(Cl)cc1)c1ccc(F)cc1)[C@@H]1CCS(=O)(=O)C1,4.95,train
8235,CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,-0.74,train
8236,NCCC(=O)O,-3.05,train
8237,CC(CN1CCCCC1)C(=O)c1ccccc1,3.51,train
8238,N#Cc1ccccn1,0.45,train
8239,COC(=O)c1ccc([N+](=O)[O-])cc1,1.89,train
8240,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3nn(C4CCCC4)nc3c2)cc1,3.82,train
8241,Cc1cc(C(=O)NNCc2ccccc2)no1,1.49,train
8242,CCCc1cccc(-c2c[nH]c(SCCc3c[nH]cn3)n2)c1,3.7,train
8243,CCCCC(CC)Cn1c(O)c2c(c1O)C1C=CC2C1,3.7,train
8244,O=C1CC(Oc2cccc3ccccc23)N1,2.66,train
8245,CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2c3ccccc3ccn2c1C(=O)c1ccccc1,4.48,train
8246,Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,6.22,train
8247,Cc1nc(C#Cc2ccccc2)cs1,3.3,train
8248,COC(=O)c1ccc(NC(C)=O)cc1,1.79,train
8249,CCOC(=O)C(=Cc1ccc([N+](=O)[O-])cc1)C(=O)OCC,3.03,train
8250,C1COCCN1,-0.86,train
8251,CNC(=O)Oc1ccc(S(C)(=O)=O)cc1,0.34,train
8252,CC(C)OC(=O)CS(=O)c1ccccc1[N+](=O)[O-],1.59,train
8253,c1cc2c3c(cccc3c1)CC2,3.92,train
8254,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,0.24,train
8255,CC(=O)CCC1CC1,1.5,train
8256,CCCCc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,4.97,train
8257,NCc1cc(=O)[nH]o1,-2.39,train
8258,O=C(C=Cc1ccccc1)OCC=Cc1ccccc1,4.45,train
8259,C=CCn1c(=O)c(N(C)C)c(C)n(-c2ccccc2)c1=O,1.98,train
8260,CC(=O)OC1=C2C(C)C(OC(=O)C(O)CNC(=O)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,1.75,train
8261,NNC(=O)Nc1cccc2ccccc12,0.9,train
8262,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCOCCc3ccccc3)c2s1,1.37,train
8263,CN(C)N=Nc1ccc(CCCC(=O)O)cc1,2.62,train
8264,COc1ccc(-c2cc(C#N)c(Cl)nc2C)cc1,3.38,train
8265,CCCCCC=CCC=CCCCCCCCC(=O)O,7.05,train
8266,CN(C)N=O,-0.57,train
8267,CCCCCc1ccc(O)cc1,4.06,train
8268,CC(Oc1ccccc1)C(=O)Nc1ccc(OC(F)(F)F)cc1,4.77,train
8269,CC1CCCC(C)C1O,2.1,train
8270,Cc1ccc2c(ccc[n+]2[O-])c1,0.95,train
8271,Fc1cccc(Cl)c1NC1=NCCN1,1.45,train
8272,CC(=O)c1ccc2c(c1)=C(c1ccccc1F)NCC(=O)N=2,1.75,train
8273,O=C(C=Cc1ccc(O)c(O)c1)NCc1ccccc1,2.48,train
8274,CSC(C)=NOC(=O)N(C)SN(C)C(=O)c1cccc(Cl)c1,2.7,train
8275,O=Cc1cccc(Oc2ccccc2)c1,3.38,train
8276,CON(C)C(=O)Nc1ccc(Cl)cc1,2.3,train
8277,COc1ccc2cc(CC(=O)OCC(=O)N3CCCC3)ccc2c1,2.71,train
8278,Oc1ccc(O)c2ccccc12,1.9,train
8279,Cc1cccc(C2C(=O)c3ccccc3C2=O)c1,3.46,train
8280,CC(=O)Nc1cccc(C)c1,1.68,train
8281,c1ccc2c(c1)Oc1ccccc1S2,4.54,train
8282,CC(=O)OCN1C(=O)c2cccc3cccc(c23)C1=O,2.34,train
8283,CC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.1,train
8284,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0.87,train
8285,Cc1cccc(NC(=O)NN)c1,0.68,train
8286,NC1C2CCC1c1ccccc1C2,1.63,train
8287,CC1CN(C)C(N=c2[nH]cc([N+](=O)[O-])s2)=N1,1.95,train
8288,CCCCCCCCOP(C)(=O)OCCCCCCCC,6.13,train
8289,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O[Na],0.16,train
8290,CNC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,1.54,train
8291,CCOP(=O)(OCC)Oc1c(Cl)cc(SC)cc1Cl,3.72,train
8292,CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=CCSC12)c1csc(=N)[nH]1,1.76,train
8293,Cc1ccc(Cl)c(Cl)c1Cl,4.56,train
8294,O=C1c2ccccc2C(=O)C1c1nc2ccccc2cc1O,5.0,train
8295,CCCc1cc(C(=O)NN)ccn1,0.63,train
8296,CC1(C)Cc2cccc(O)c2O1,2.08,train
8297,CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.69,train
8298,O=C1CCCC1,0.38,train
8299,O=C(Cc1ccccc1)NCCNCC(O)OCc1ccccc1,1.05,train
8300,COC(=O)C(C#N)=NNc1ccc(SC(F)(F)F)cc1,4.3,train
8301,NS(=O)(=O)c1cc2cc(CNCCO)sc2s1,-0.72,train
8302,O=NN1CCCC1,-0.19,train
8303,CC1(C)N=C(N)N=C(N)N1c1ccc(C(F)(F)F)cc1,1.22,train
8304,C=CCOc1noc2c1CNCC2,0.56,train
8305,CNC(=O)Oc1ccc2ccccc2c1,2.56,train
8306,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,-0.26,train
8307,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,1.94,train
8308,CNCCO,-0.94,train
8309,CN(C)CCOC(=O)c1ccc(C#N)cc1,1.43,train
8310,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.83,train
8311,CCOc1ccc(C[C@H]2c3cc(OCC)c(OCC)cc3CCN2C(=O)c2scnc2C)cc1OCC,4.98,train
8312,COP(=S)(OC)Oc1ccc(C#N)cc1,2.71,train
8313,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-0.78,train
8314,CCCCCCCCCCCC,6.1,train
8315,COc1cccc(CNC(=O)C2(O)C(C)CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC32C)c1,3.27,train
8316,CC(=O)Oc1ccc(N=C2C=CC(=O)C=C2)cc1,1.43,train
8317,NC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1,0.2,train
8318,NC(=O)CCCc1ccccn1,-0.01,train
8319,CNC(=O)OCc1c2n(c3c(O)c(Br)c(N)c(O)c13)CC=C2OC(C)=O,1.15,train
8320,NC(=S)c1cccnc1,0.67,train
8321,Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,6.55,train
8322,CC(=O)Nc1ccc(O)c(C)c1,0.79,train
8323,CCCCN=c1[nH]nc(C(C)C)c(=O)n1N,1.78,train
8324,COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,3.53,train
8325,N#CN=[N+]([O-])c1cnccn1,0.1,train
8326,CCN1C(=O)C(=O)c2c(C#N)cccc2C1=O,0.41,train
8327,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,-1.16,train
8328,CC(=O)NN,-1.58,train
8329,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F,3.36,train
8330,O=C(O)CCC1=NS(=O)(=O)c2ccc(C(F)(F)F)cc2N1,1.3,train
8331,Cc1cccc(OCC(O)CNC(C)C)c1,1.93,train
8332,NCC(=O)NCC(=O)NCC(=O)O,-2.68,train
8333,CCN(CC)CCSC(=NO)c1noc(-c2ccccc2)n1,2.13,train
8334,CCCCn1nc2ccccc2n1,3.12,train
8335,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC(C)=O)cc3)c(=O)n2C1c1cccs1,4.77,train
8336,CCN(CC)C(=O)c1cccc2c1C(=O)C(=O)N(CC)C2=O,0.78,train
8337,CC(=O)NC(CCC(=O)O)C(N)=O,-2.47,train
8338,COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)=C(OC1CC(N2CCOCC2C#N)C(O)C(C)O1)CC(O)(C(C)=O)C=4,2.59,train
8339,FS(F)(F)(F)(F)c1ccccc1,3.36,train
8340,O=C(NC(CO)C(O)c1ccc(NC(=O)C2CC2)cc1)C(Cl)Cl,0.75,train
8341,C=c1c(O)cc(C)c(O)c1=C,1.82,train
8342,O=C(c1ccccn1)n1c(=O)[nH]cc(F)c1=O,-0.06,train
8343,CCCCCNC(=O)CCC(NS(=O)(=O)c1ccccc1)C(=O)O,0.03,train
8344,COC(=O)c1cnc2n(c1=O)C(C(C)C)CCC2,0.99,train
8345,COC(=O)c1cccc(NC(=O)CCN2C(=O)c3ccccc3C2=O)c1,3.39,train
8346,Cc1nonc1S(=O)(=O)c1ccccc1,2.36,train
8347,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O,-0.37,train
8348,CC(C)(C)S(=O)(=O)C(C#N)C=Nc1ccc(OC(F)(F)F)cc1,4.28,train
8349,CN(C)c1ccc2c(c1)=C(c1ccccc1)NCC(=O)N=2,2.43,train
8350,O=C(O)c1ccc(F)cc1,2.07,train
8351,CC(C)(C#N)N=c1[nH]c(Cl)nc(=NC2CC2)[nH]1,1.99,train
8352,C=CCN1CCCN(CC=C)C1=S,2.08,train
8353,CC(=O)Oc1cccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4cccc(OC(C)=O)c4)C5=O)cc3C2=O)c1,5.13,train
8354,Nc1ccc2ccccc2c1S(=O)(=O)O,-1.16,train
8355,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,4.76,train
8356,CN(C)N=Nc1ccccc1C(=O)NC#N,0.8,train
8357,CCc1ccc(CC)n1N=c1ccc(N2CCOCC2)n[nH]1,2.71,train
8358,O=NN(CCCl)C(=O)NCCCCNC(=O)N(CCCl)N=O,0.9,train
8359,Cn1c([N+](=O)[O-])cnc1-c1ccc(N)cc1,1.06,train
8360,CN1CCN=C1N=c1[nH]cc([N+](=O)[O-])s1,1.8,train
8361,CCS(=O)CCSP(=O)(OC)OC,-0.75,train
8362,CC(C)CNOc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.89,train
8363,CC(C)NCC(O)COc1cccc2ccccc12,3.4,train
8364,CCOc1ccc(NC(=O)OC(C)C)cc1OCC,2.91,train
8365,COC(=O)C(C(=O)OC)=C1SCCS1,1.51,train
8366,ON=Cc1nc(-c2ccccc2)no1,2.72,train
8367,CCOC(=O)C(F)(F)C(F)(F)F,2.12,train
8368,O=NN(CCF)C(=O)NC1CCC(NC(=O)N(CCF)N=O)CC1,1.34,train
8369,CNC(=O)C(C)NC(C)=O,-1.21,train
8370,CCCCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,4.7,train
8371,O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1,3.97,train
8372,O=C(CCn1cnc([N+](=O)[O-])n1)N1CCOCC1,-0.74,train
8373,CCCC(=NOCC)C1C(=O)CC2(C=CCCC2)OC1=O,3.2,train
8374,S=C1CCCCCCN1,1.0,train
8375,CN1CCN(CCn2cncc2[N+](=O)[O-])CC1,-0.2,train
8376,O=c1[nH]c(O)c(-c2ccccc2)[nH]1,0.46,train
8377,CCC(=O)CC(=O)CC,1.12,train
8378,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.46,train
8379,CCC1(CC(C)C(C)C)C(=O)NC(=O)NC1=O,2.02,train
8380,CC(=O)N(CC(=O)Nc1ccccc1)c1ccccc1,2.01,train
8381,CS(=O)(=O)CCNCc1cc2cc(S(N)(=O)=O)sc2s1,-0.26,train
8382,O=C(Nc1ccccc1)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],2.23,train
8383,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1Cl,1.87,train
8384,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,3.81,train
8385,c1cnoc1,0.08,train
8386,CCC[N+](=O)[O-],0.87,train
8387,O=C(Cc1ccccc1)Nc1cccc([N+](=O)[O-])c1,2.93,train
8388,CNC(=O)Oc1cc(C)c(Cl)cc1Cl,3.0,train
8389,CNP(=O)(OC)Oc1ccccc1Cl,1.61,train
8390,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,1.92,train
8391,CCOc1ccc(NC(=O)CN2CCCCC2)cc1,2.82,train
8392,CSc1nc(=O)cc[nH]1,0.22,train
8393,CC1=CC(C(F)(F)F)(C(F)(F)F)C(C#N)C(=N)N1c1ccc(C(N)=O)cc1,4.41,train
8394,C=C1CCC2C(C1)c1c(OC)cc(CCCCC)cc1OC2(C)C,7.62,train
8395,CCOC(=O)CC(C)=O,0.25,train
8396,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2s1,2.88,train
8397,c1ccncc1,0.65,train
8398,NS(=O)(=O)c1cc2c(s1)SCCC2O,0.68,train
8399,CC(C)c1cccc(C2C(=O)c3ccccc3C2=O)c1,4.43,train
8400,Oc1c(Cl)cccc1Cl,2.75,train
8401,Oc1ccccc1Br,2.35,train
8402,CC(=O)CC(=O)Nc1ccc(-c2ccc(NC(=O)CC(C)=O)c(C)c2)cc1C,1.75,train
8403,Cc1nc([N+](=O)[O-])c(Br)n1C,0.44,train
8404,CCCCOc1ccccc1NC(=O)OC1CCCCC1CN(C)C,5.01,train
8405,C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C=CC,3.65,train
8406,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)oc2ccccc12,8.5,train
8407,O=C1C=NC(c2ccccc2Cl)c2cc(Cl)ccc2N1,3.15,train
8408,C=C(C)C(=O)OCC(O)COc1ccccc1,2.27,train
8409,NNC(=O)NN=Cc1ccccc1,0.81,train
8410,CC(CO)NCc1ccccc1,1.28,train
8411,O=C1C=NC(c2c(F)cccc2F)c2cc(Cl)ccc2N1,2.68,train
8412,Fc1c(F)c(F)c(F)c(F)c1F,2.55,train
8413,CCOC(=O)Cc1nc(O)c(N2CCCCC2)s1,2.34,train
8414,CCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,3.08,train
8415,Oc1cccc2c(Cl)ccnc12,2.67,train
8416,CC(=O)Nc1c(Br)cccc1Br,1.53,train
8417,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.49,train
8418,COc1ccccc1N1CCN(CCC=Cc2ccc(F)cc2)CC1,4.7,train
8419,COC1CC2(C)C(O)CCC2C2CCc3cc(O)ccc3C12,2.72,train
8420,Cc1cccc2ccc3ccccc3c12,5.08,train
8421,C#CCOc1ccc(C2C3=C(CC(C)(C)CC3=O)OC3=C2C(=O)CC(C)(C)C3)cc1OCC,4.93,train
8422,Cc1ccc(N[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]2O)cc1Br,2.28,train
8423,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.2,train
